OBJECTID,solute,beta_drought_like,beta_non_drought_highflow,beta_normal,beta_post_drought_rewetting,alpha_drought_like,alpha_non_drought_highflow,alpha_normal,alpha_post_drought_rewetting,n_obs_drought_like,n_obs_non_drought_highflow,n_obs_normal,n_obs_post_drought_rewetting,cv_c_drought_like,cv_c_non_drought_highflow,cv_c_normal,cv_c_post_drought_rewetting,cv_q_drought_like,cv_q_non_drought_highflow,cv_q_normal,cv_q_post_drought_rewetting,cv_ratio_drought_like,cv_ratio_non_drought_highflow,cv_ratio_normal,cv_ratio_post_drought_rewetting,delta_beta_drought_like,delta_cv_ratio_drought_like,delta_beta_post_drought_rewetting,delta_cv_ratio_post_drought_rewetting,delta_beta_non_drought_highflow,delta_cv_ratio_non_drought_highflow
220,DOC,0.18920457056980558,-0.001001211648257665,-0.0001464497316950873,-0.01491700328900449,1.6723148327758182,1.516915249920164,1.5182579994208987,1.6050119294108993,44.0,42.0,119.0,5.0,0.09053094654673897,0.0622249060122837,0.05698445882983661,0.07938742172523688,0.14115507369696573,0.25158874693777605,0.23063405025264644,0.17104587222111783,0.6413580764450059,0.24732785853762138,0.24707738847500355,0.4641294215075216,0.18935102030150067,0.3942806879700023,-0.014770553557309402,0.21705203303251808,-0.0008547619165625776,0.0002504700626178302
220,NO3N,0.27315990122358097,-0.14427063580143204,0.059504573727781,-0.3846562772228636,2.1622686817447274,1.814526377142958,1.8952076447464659,1.9236335301680414,60.0,58.0,145.0,8.0,0.21585059986174657,0.21017708735070187,0.19199504952877613,0.2299157124951898,0.15158850398721743,0.24945006805644057,0.22729761801963716,0.19855745295105534,1.423924599717324,0.8425617558987685,0.8446857085505793,1.1579304079402364,0.21365532749579996,0.5792388911667447,-0.4441608509506446,0.31324469938965704,-0.20377520952921305,-0.0021239526518108676
220,PO4P,0.23373440120823955,0.12404835870092538,-0.020403147498988618,,-1.1989818667138357,-1.3334665909991406,-1.348787908926508,,60.0,59.0,149.0,3.0,0.2317654393031587,0.2560223980113179,0.18798757654928275,,0.15158850398721743,0.25043177866999466,0.22556511764045364,,1.5289117130062986,1.0223239213929405,0.8334071265794353,,0.25413754870722816,0.6955045864268633,,,0.144451506199914,0.1889167948135052
221,NO3N,-0.09371086028555518,-0.1039930645215402,-0.05861147391121775,-0.09462651697754518,1.6253155717946612,1.6070192819830398,1.4869526486523141,1.5878933978234102,56.0,54.0,128.0,10.0,0.09143733979676967,0.0733072082570135,0.07068922764201563,0.0895716330089566,0.3795218221054296,0.4897174536170675,0.43101588598678875,0.3896002880754593,0.24092775295373858,0.14969286415169464,0.16400608409171805,0.22990648557120166,-0.03509938637433743,0.07692166886202054,-0.036015043066327426,0.06590040147948362,-0.045381590610322445,-0.014313219940023408
221,PO4P,-0.4284946009533777,-0.4815453098994553,-0.4434081426970529,-0.6843033179902188,-0.9533802849190605,-0.36434570954461587,-0.717317510979059,0.19845586732922937,56.0,54.0,128.0,10.0,0.27904854100958565,0.2505502288881311,0.27735857221234467,0.33628161691706004,0.3795218221054296,0.4897174536170675,0.43101588598678875,0.3896002880754593,0.735263494103027,0.5116220119122972,0.643499651010186,0.8631451957549059,0.014913541743675207,0.09176384309284102,-0.2408951752931659,0.21964554474471987,-0.0381371672024024,-0.13187763909788885
224,DOC,-0.0017183147794839642,0.10529989181521786,0.08226613960674571,0.0463820413580663,1.099470321735103,1.2156627215885438,1.1427478163834754,1.2134173141702789,53.0,46.0,136.0,17.0,0.08871718323818858,0.07575981334251246,0.09165193659049405,0.0764892921309836,0.4296129352161265,0.4041663777793883,0.4725734300307716,0.4476870830439398,0.206504916323242,0.18744709482950975,0.19394221250341165,0.1708543646399472,-0.08398445438622967,0.012562703819830351,-0.035884098248679414,-0.02308784786346446,0.023033752208472147,-0.006495117673901901
224,NO3N,0.006223543953848756,-0.01697139568433266,-0.03651231796849943,-0.08415202109865895,1.3359837044612755,1.1697437777471202,1.2760545258439882,1.3687345943541898,70.0,65.0,170.0,19.0,0.1948359767104531,0.15252602588510247,0.16021572610902046,0.17279690927321392,0.4410464786687604,0.3900639481802963,0.47398668534442917,0.43659121962755815,0.4417583772543414,0.39102825728103824,0.33801735589386317,0.39578649662405346,0.042735861922348184,0.10374102136047825,-0.04763970313015952,0.057769140730190294,0.01954092228416677,0.05301090138717507
224,PO4P,-0.09198882844242592,-0.3189386673774427,-0.205442624773227,,-2.56390717939428,-2.1206483337150597,-2.446826193960961,,70.0,69.0,183.0,2.0,0.2986621665807797,0.24284827829125102,0.2827194197464817,,0.4410464786687604,0.3956043097998648,0.46886050793925627,,0.6771671037534442,0.613866614380686,0.6029926064557983,,0.11345379633080108,0.07417449729764591,,,-0.1134960426042157,0.010874007924887685
226,NO3N,-0.042151759496896424,-0.09558085888551786,-0.06883548850302305,-0.050347912107661257,1.6194416904566133,1.7082565001740664,1.6845352168584147,1.594995098373941,65.0,67.0,177.0,15.0,0.1344887925937535,0.11627803684610741,0.12973618140193777,0.10468264078774972,0.4514158668906041,0.42405356628617674,0.5015386003945441,0.4749050636646363,0.2979265959792801,0.27420601096333197,0.25867636369339975,0.22042856308997677,0.02668372900612663,0.03925023228588037,0.018487576395361797,-0.03824780060342298,-0.026745370382494804,0.015529647269932223
226,PO4P,-0.23962227784603998,-0.5027216919825627,-0.4307636315138988,-0.15125410241552817,-1.6380732441735506,-0.8369395908309576,-1.2126791351958772,-1.8797265975835533,73.0,67.0,181.0,16.0,1.0557611774029974,0.3615913822724887,0.4753579353222462,0.3620202666555945,0.44476638701434307,0.42405356628617674,0.4988979463513652,0.46117837000508594,2.3737431789532932,0.8527021372306186,0.9528159792974169,0.7849896920612346,0.1911413536678588,1.4209271996558763,0.2795095290983706,-0.16782628723618231,-0.07195806046866388,-0.1001138420667983
227,NO3N,0.01859120615754445,-0.0618832573590542,-0.0485925628415857,0.02099968252567109,1.2889641263110867,1.169322242041725,1.2418821862358824,1.0743472355678194,60.0,53.0,163.0,12.0,0.09231728957812756,0.08600299618670909,0.09252270084407924,0.07799961527263344,0.6956846246050568,0.6772604838741044,0.6856326335473747,0.43551041374831845,0.13269991360027036,0.12698658527181417,0.13494500745301274,0.17909931154415387,0.06718376899913014,-0.0022450938527423803,0.06959224536725679,0.04415430409114113,-0.013290694517468497,-0.007958422181198577
227,PO4P,-0.38862072780082135,-0.3589316854603079,-0.4101898411153191,-0.45184994358777053,-1.7139622822462157,-1.5616989409424442,-1.5996416165231522,-1.3887395574672141,60.0,53.0,163.0,12.0,0.294506500179094,0.30956017588364865,0.309205096042011,0.34336095933014416,0.6956846246050568,0.6772604838741044,0.6856326335473747,0.43551041374831845,0.42333334640863546,0.4570769788795069,0.45097779906161084,0.7884104455159424,0.021569113314497734,-0.027644452652975382,-0.041660102472451443,0.3374326464543316,0.051258155655011184,0.006099179817896039
234,DOC,0.051864019907828664,0.22992872660338468,0.11386663903305182,0.14502566444670198,0.8583879860105381,0.6372947808062671,0.8675843410243371,0.8904325942905482,52.0,57.0,137.0,6.0,0.11053402819208089,0.2032354104957659,0.13931766599694506,0.14053033754458943,0.4888154975536869,0.58391967901948,0.582986308293358,0.5113748948485821,0.22612627616198044,0.348053709779125,0.23897244929265232,0.27480883195527306,-0.06200261912522315,-0.012846173130671878,0.031159025413650163,0.035836382662620736,0.11606208757033286,0.10908126048647265
